title,url
Cascade: Crowdsourcing taxonomy creation,"https://scholar.google.com/scholar?start=20&q=expert+source:%22Human+Factors+in+Computing+Systems%22&hl=en&as_sdt=0,14"
Gardeners and gurus: patterns of cooperation among CAD users,"https://scholar.google.com/scholar?start=20&q=expert+source:%22Human+Factors+in+Computing+Systems%22&hl=en&as_sdt=0,14"
Guidelines are only half of the story: accessibility problems encountered by blind users on the web,"https://scholar.google.com/scholar?start=20&q=expert+source:%22Human+Factors+in+Computing+Systems%22&hl=en&as_sdt=0,14"
Comparative effectiveness of augmented reality in object assembly,"https://scholar.google.com/scholar?start=20&q=expert+source:%22Human+Factors+in+Computing+Systems%22&hl=en&as_sdt=0,14"
Atelier: Repurposing expert crowdsourcing tasks as micro-internships,"https://scholar.google.com/scholar?start=20&q=expert+source:%22Human+Factors+in+Computing+Systems%22&hl=en&as_sdt=0,14"
A survey of user-centered design practice,"https://scholar.google.com/scholar?start=20&q=expert+source:%22Human+Factors+in+Computing+Systems%22&hl=en&as_sdt=0,14"
Is your web page accessible? A comparative study of methods for assessing web page accessibility for the blind,"https://scholar.google.com/scholar?start=20&q=expert+source:%22Human+Factors+in+Computing+Systems%22&hl=en&as_sdt=0,14"
The alphaslider: a compact and rapid selector,"https://scholar.google.com/scholar?start=20&q=expert+source:%22Human+Factors+in+Computing+Systems%22&hl=en&as_sdt=0,14"
Security during application development: An application security expert perspective,"https://scholar.google.com/scholar?start=30&q=expert+source:%22Human+Factors+in+Computing+Systems%22&hl=en&as_sdt=0,14"
Developing a context-aware electronic tourist guide: some issues and experiences,"https://scholar.google.com/scholar?start=30&q=expert+source:%22Human+Factors+in+Computing+Systems%22&hl=en&as_sdt=0,14"
Empirically validated web page design metrics,"https://scholar.google.com/scholar?start=30&q=expert+source:%22Human+Factors+in+Computing+Systems%22&hl=en&as_sdt=0,14"
TeleAdvisor: a versatile augmented reality tool for remote assistance,"https://scholar.google.com/scholar?start=30&q=expert+source:%22Human+Factors+in+Computing+Systems%22&hl=en&as_sdt=0,14"
A smartphone-based sensing platform to model aggressive driving behaviors,"https://scholar.google.com/scholar?start=30&q=expert+source:%22Human+Factors+in+Computing+Systems%22&hl=en&as_sdt=0,14"
"Make new friends, but keep the old: recommending people on social networking sites","https://scholar.google.com/scholar?start=30&q=expert+source:%22Human+Factors+in+Computing+Systems%22&hl=en&as_sdt=0,14"
The elements of computer credibility,"https://scholar.google.com/scholar?start=30&q=expert+source:%22Human+Factors+in+Computing+Systems%22&hl=en&as_sdt=0,14"
Characterizing debate performance via aggregated twitter sentiment,"https://scholar.google.com/scholar?start=30&q=expert+source:%22Human+Factors+in+Computing+Systems%22&hl=en&as_sdt=0,14"
The role of transparency in recommender systems,"https://scholar.google.com/scholar?start=30&q=expert+source:%22Human+Factors+in+Computing+Systems%22&hl=en&as_sdt=0,14"
Strategies for accelerating on-line learning of hotkeys,"https://scholar.google.com/scholar?start=30&q=expert+source:%22Human+Factors+in+Computing+Systems%22&hl=en&as_sdt=0,14"
Debugging by skilled and novice programmers,"https://scholar.google.com/scholar?start=40&q=expert+source:%22Human+Factors+in+Computing+Systems%22&hl=en&as_sdt=0,14"
Emotion rating from short blog texts,"https://scholar.google.com/scholar?start=40&q=expert+source:%22Human+Factors+in+Computing+Systems%22&hl=en&as_sdt=0,14"
Dips and ceilings: understanding and supporting transitions to expertise in user interfaces,"https://scholar.google.com/scholar?start=40&q=expert+source:%22Human+Factors+in+Computing+Systems%22&hl=en&as_sdt=0,14"
FotoFile: a consumer multimedia organization and retrieval system,"https://scholar.google.com/scholar?start=40&q=expert+source:%22Human+Factors+in+Computing+Systems%22&hl=en&as_sdt=0,14"
Promoting hotkey use through rehearsal with exposehk,"https://scholar.google.com/scholar?start=40&q=expert+source:%22Human+Factors+in+Computing+Systems%22&hl=en&as_sdt=0,14"
Using latent semantic analysis to improve access to textual information,"https://scholar.google.com/scholar?start=40&q=expert+source:%22Human+Factors+in+Computing+Systems%22&hl=en&as_sdt=0,14"
Remote evaluation: the network as an extension of the usability laboratory,"https://scholar.google.com/scholar?start=40&q=expert+source:%22Human+Factors+in+Computing+Systems%22&hl=en&as_sdt=0,14"
Usability and privacy: a study of Kazaa P2P file-sharing,"https://scholar.google.com/scholar?start=40&q=expert+source:%22Human+Factors+in+Computing+Systems%22&hl=en&as_sdt=0,14"
Text input for mobile devices: comparing model prediction to actual performance,"https://scholar.google.com/scholar?start=40&q=expert+source:%22Human+Factors+in+Computing+Systems%22&hl=en&as_sdt=0,14"
Predictive human performance modeling made easy,"https://scholar.google.com/scholar?start=40&q=expert+source:%22Human+Factors+in+Computing+Systems%22&hl=en&as_sdt=0,14"
Fake news detection in social networks via crowd signals,"https://scholar.google.com/scholar?start=0&q=crowd+source:%22The+Web+Conference%22&hl=en&as_sdt=0,14"
Crowd teaching with imperfect labels,"https://scholar.google.com/scholar?start=0&q=crowd+source:%22The+Web+Conference%22&hl=en&as_sdt=0,14"
Becoming the super turker: Increasing wages via a strategy from high earning workers,"https://scholar.google.com/scholar?start=0&q=crowd+source:%22The+Web+Conference%22&hl=en&as_sdt=0,14"
CrowdGP: a Gaussian Process Model for Inferring Relevance from Crowd Annotations,"https://scholar.google.com/scholar?start=0&q=crowd+source:%22The+Web+Conference%22&hl=en&as_sdt=0,14"
Towards hybrid human-AI workflows for unknown unknown detection,"https://scholar.google.com/scholar?start=0&q=crowd+source:%22The+Web+Conference%22&hl=en&as_sdt=0,14"
Quality-aware dynamic task assignment in human+ ai crowd,"https://scholar.google.com/scholar?start=0&q=crowd+source:%22The+Web+Conference%22&hl=en&as_sdt=0,14"
"Web-scale, schema-agnostic, end-to-end entity resolution","https://scholar.google.com/scholar?start=0&q=crowd+source:%22The+Web+Conference%22&hl=en&as_sdt=0,14"
"What is Normal, What is Strange, and What is Missing in an Knowledge Graph","https://scholar.google.com/scholar?start=0&q=crowd+source:%22The+Web+Conference%22&hl=en&as_sdt=0,14"
Evaluating the rationales of amateur investors,"https://scholar.google.com/scholar?start=0&q=crowd+source:%22The+Web+Conference%22&hl=en&as_sdt=0,14"
"Computational fact-checking: Problems, state of the art, and perspectives","https://scholar.google.com/scholar?start=0&q=crowd+source:%22The+Web+Conference%22&hl=en&as_sdt=0,14"
Neural collaborative reasoning,"https://scholar.google.com/scholar?start=10&q=crowd+source:%22The+Web+Conference%22&hl=en&as_sdt=0,14"
Opencrowd: A human-ai collaborative approach for finding social influencers via open-ended answers aggregation,"https://scholar.google.com/scholar?start=10&q=crowd+source:%22The+Web+Conference%22&hl=en&as_sdt=0,14"
Human-guided flood mapping: From experts to the crowd,"https://scholar.google.com/scholar?start=10&q=crowd+source:%22The+Web+Conference%22&hl=en&as_sdt=0,14"
Filter list generation for underserved regions,"https://scholar.google.com/scholar?start=10&q=crowd+source:%22The+Web+Conference%22&hl=en&as_sdt=0,14"
Crowdsourcing detection of sampling biases in image datasets,"https://scholar.google.com/scholar?start=10&q=crowd+source:%22The+Web+Conference%22&hl=en&as_sdt=0,14"
Beyond IID: three levels of generalization for question answering on knowledge bases,"https://scholar.google.com/scholar?start=10&q=crowd+source:%22The+Web+Conference%22&hl=en&as_sdt=0,14"
Generating representative headlines for news stories,"https://scholar.google.com/scholar?start=10&q=crowd+source:%22The+Web+Conference%22&hl=en&as_sdt=0,14"
Mining dual emotion for fake news detection,"https://scholar.google.com/scholar?start=10&q=crowd+source:%22The+Web+Conference%22&hl=en&as_sdt=0,14"
Fine-grained urban flow prediction,"https://scholar.google.com/scholar?start=10&q=crowd+source:%22The+Web+Conference%22&hl=en&as_sdt=0,14"
The structure of social influence in recommender networks,"https://scholar.google.com/scholar?start=10&q=crowd+source:%22The+Web+Conference%22&hl=en&as_sdt=0,14"
Crowd -Machine Collaboration for Item Screening,"https://scholar.google.com/scholar?start=20&q=crowd+source:%22The+Web+Conference%22&hl=en&as_sdt=0,14"
Facebook Ads as a demographic tool to measure the urban-rural divide,"https://scholar.google.com/scholar?start=20&q=crowd+source:%22The+Web+Conference%22&hl=en&as_sdt=0,14"
Attention please: Your attention check questions in survey studies can be automatically answered,"https://scholar.google.com/scholar?start=20&q=crowd+source:%22The+Web+Conference%22&hl=en&as_sdt=0,14"
Traveling the token world: A graph analysis of ethereum erc20 token ecosystem,"https://scholar.google.com/scholar?start=20&q=crowd+source:%22The+Web+Conference%22&hl=en&as_sdt=0,14"
Text-to-SQL generation for question answering on electronic medical records,"https://scholar.google.com/scholar?start=20&q=crowd+source:%22The+Web+Conference%22&hl=en&as_sdt=0,14"
Abstractive snippet generation,"https://scholar.google.com/scholar?start=20&q=crowd+source:%22The+Web+Conference%22&hl=en&as_sdt=0,14"
Open intent extraction from natural language interactions,"https://scholar.google.com/scholar?start=20&q=crowd+source:%22The+Web+Conference%22&hl=en&as_sdt=0,14"
What do you mean? Interpreting image classification with crowdsourced concept extraction and analysis,"https://scholar.google.com/scholar?start=20&q=crowd+source:%22The+Web+Conference%22&hl=en&as_sdt=0,14"
A kernel of truth: Determining rumor veracity on twitter by diffusion pattern alone,"https://scholar.google.com/scholar?start=20&q=crowd+source:%22The+Web+Conference%22&hl=en&as_sdt=0,14"
The representativeness of automated web crawls as a surrogate for human browsing,"https://scholar.google.com/scholar?start=20&q=crowd+source:%22The+Web+Conference%22&hl=en&as_sdt=0,14"
Domain adaptive multi-modality neural attention network for financial forecasting,"https://scholar.google.com/scholar?start=30&q=crowd+source:%22The+Web+Conference%22&hl=en&as_sdt=0,14"
