title,year,conf,conf_long
GNEM: A Generic One-to-Set Neural Entity Matching Framework,2021,WWW,International World Wide Web Conference
Graph Contrastive Learning with Adaptive Augmentation,2021,WWW,International World Wide Web Conference
Graph Embedding for Recommendation against Attribute Inference Attacks,2021,WWW,International World Wide Web Conference
Graph Neural Networks for Friend Ranking in Large-scale Social Platforms,2021,WWW,International World Wide Web Conference
Graph Structure Estimation Neural Networks,2021,WWW,International World Wide Web Conference
Graph Topic Neural Network for Document Representation,2021,WWW,International World Wide Web Conference
Graph-based Hierarchical Relevance Matching Signals for Ad-hoc Retrieval,2021,WWW,International World Wide Web Conference
GuideBoot: Guided Bootstrap for Deep Contextual Bandits in Online Advertising,2021,WWW,International World Wide Web Conference
Hashing-Accelerated Graph Neural Networks for Link Prediction,2021,WWW,International World Wide Web Conference
Have You been Properly Notified? Automatic Compliance Analysis of Privacy Policy Text with GDPR Article 13,2021,WWW,International World Wide Web Conference
HDMI: High-order Deep Multiplex Infomax,2021,WWW,International World Wide Web Conference
Heterogeneous Graph Neural Network via Attribute Completion,2021,WWW,International World Wide Web Conference
HGCF: Hyperbolic Graph Convolution Networks for Collaborative Filtering,2021,WWW,International World Wide Web Conference
Hierarchical Personalized Federated Learning for User Modeling,2021,WWW,International World Wide Web Conference
High-Dimensional Sparse Cross-Modal Hashing with Fine-Grained Similarity Embedding,2021,WWW,International World Wide Web Conference
High-dimensional Sparse Embeddings for Collaborative Filtering,2021,WWW,International World Wide Web Conference
Highly Liquid Temporal Interaction Graph Embeddings,2021,WWW,International World Wide Web Conference
HINTS: Citation Time Series Prediction for New Publications viaDynamic Heterogeneous Information Network Embedding,2021,WWW,International World Wide Web Conference
"How Do Hyperedges Overlap in Real-World Hypergraphs? – Patterns, Measures, and Generators",2021,WWW,International World Wide Web Conference
IFSpard: An Information Fusion-based Framework for Spam Review Detection,2021,WWW,International World Wide Web Conference
Improving Cyberbully Detection with User Interaction,2021,WWW,International World Wide Web Conference
Improving Graph Neural Networks with Structural Adaptive Receptive Fields,2021,WWW,International World Wide Web Conference
Improving Neural Question Generation using Deep Linguistic Representation,2021,WWW,International World Wide Web Conference
Improving Text Encoder via Graph Neural Network in Sponsored Search,2021,WWW,International World Wide Web Conference
Incentive Mechanism for Horizontal Federated Learning Based on Reputation and Reverse Auction,2021,WWW,International World Wide Web Conference
Incremental Spatio-Temporal Graph Learning for Online Query-POI Matching,2021,WWW,International World Wide Web Conference
Incrementality Testing in Programmatic Advertising: Enhanced Precision with Doubled-Blind Designs,2021,WWW,International World Wide Web Conference
Inductive Entity Representations from Text via Link Prediction,2021,WWW,International World Wide Web Conference
Information Elicitation from Rowdy Crowds,2021,WWW,International World Wide Web Conference
Information Extraction From Co-Occurring Similar Entities,2021,WWW,International World Wide Web Conference
Insightful Dimensionality Reduction with Very Low Rank Variable Subsets,2021,WWW,International World Wide Web Conference
Integrating Floor Plans into Hedonic Models for Rent Price Appraisal,2021,WWW,International World Wide Web Conference
Interest-aware Message-Passing GCN for Recommendation,2021,WWW,International World Wide Web Conference
