title,year,conf,conf_long
DeepLM: Large-Scale Nonlinear Least Squares on Deep Learning Frameworks Using Stochastic Domain Decomposition,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
TDN: Temporal Difference Networks for Efficient Action Recognition,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
LiBRe: A Practical Bayesian Approach to Adversarial Detection,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
ArtCoder: An End-to-End Method for Generating Scanning-Robust Stylized QR Codes,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Self-Supervised Pillar Motion Learning for Autonomous Driving,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Quantum Permutation Synchronization,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
QAIR: Practical Query-Efficient Black-Box Attacks for Image Retrieval,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
MagFace: A Universal Representation for Face Recognition and Quality Assessment,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Wasserstein Barycenter for Multi-Source Domain Adaptation,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Unsupervised Hyperbolic Metric Learning,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Improving Sign Language Translation With Monolingual Data by Sign Back-Translation,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Background Splitting: Finding Rare Classes in a Sea of Background,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Adaptive Convolutions for Structure-Aware Style Transfer,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Few-Shot Incremental Learning With Continually Evolved Classifiers,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
NExT-QA: Next Phase of Question-Answering to Explaining Temporal Actions,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
LayoutGMN: Neural Graph Matching for Structural Layout Similarity,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
TransNAS-Bench-101: Improving Transferability and Generalizability of Cross-Task Neural Architecture Search,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
ArtEmis: Affective Language for Visual Art,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
"Sketch, Ground, and Refine: Top-Down Dense Video Captioning",2021,CVPR,The Conference on Computer Vision and Pattern Recognition
Learning Normal Dynamics in Videos With Meta Prototype Network,2021,CVPR,The Conference on Computer Vision and Pattern Recognition
